"job_title","company","location","department","employment_type","job_description","requirements","posted_date","job_url","source","skills","extracted_at"
"AI Support Engineer, Government - Washington, D.C.","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/b505a83d-68c1-46cc-a754-5deacb3c6e3c","openai","AI, ML, Python","2026-03-20T22:09:48.4875225Z"
"Growth - Emails, Notifications and Lifecycle","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/8e146ecb-2bc4-406e-843d-b4b5a8dc09ef","openai","AI, ML, Python","2026-03-20T22:09:48.4875225Z"
"Growth - Emails, Notifications and Lifecycle","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/c3426270-157e-4709-bf13-aee7743f7c39","openai","AI, ML, Python","2026-03-20T22:09:48.4875225Z"
"Head of AI Executive Partnership","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/1f0c173f-b4e2-4718-b8db-06699cacc4a0","openai","AI, ML, Python","2026-03-20T22:09:48.4875225Z"
"Manager, AI Deployment Engineering","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/ba2ead69-d118-4a91-a4d7-c880d17fa7f9","openai","AI, ML, Python","2026-03-20T22:09:48.4885230Z"
"Manager, AI Deployment Engineering - Health & Life Sciences","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/3775cb8b-770d-456b-8d5c-b9de78d4e218","openai","AI, ML, Python","2026-03-20T22:09:48.4885230Z"
"Manager, AI Deployment Engineering - Health & Life Sciences","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/ec911cb2-6b87-4546-9ec7-6c54a34db84d","openai","AI, ML, Python","2026-03-20T22:09:48.4885230Z"
"Manager, AI Success Engineers - NYC","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/227ea1b3-6fc4-44ca-93db-d59373121180","openai","AI, ML, Python","2026-03-20T22:09:48.4885230Z"
"Manager, AI Success Engineers - San Francisco","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/f2376a07-ecfa-4ff9-9033-c9ee05532f4b","openai","AI, ML, Python","2026-03-20T22:09:48.4895220Z"
"Partner AI Deployment Engineer","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/552396f4-dc83-43de-9230-6301e5f461bd","openai","AI, ML, Python","2026-03-20T22:09:48.4895220Z"
"Partner AI Deployment Engineer","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/4a3d7b56-5e7b-4a90-8b94-2a99596b4496","openai","AI, ML, Python","2026-03-20T22:09:48.4895220Z"
"Partner AI Deployment Engineer, Global Advisory Alliances","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/8cf573f3-2268-44f7-8068-f2e60af5fc69","openai","AI, ML, Python","2026-03-20T22:09:48.4905211Z"
"Partner Director, Global Bain Alliance","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/5112df2a-f4d3-4e59-a4af-45c77fcaf5e2","openai","AI, ML, Python","2026-03-20T22:09:48.4905211Z"
"Scaled AI Success Engineer","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/c5ff9a07-5f62-4d03-a26c-b205b5471dc8","openai","AI, ML, Python","2026-03-20T22:09:48.4905211Z"
"Scaled AI Success Engineer","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/e556be3b-a366-4d7c-84b2-19162b2679a6","openai","AI, ML, Python","2026-03-20T22:09:48.4905211Z"
"Software Engineer, Backend (Cooperative AI)","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/bd190cad-99ec-4fe7-8f8f-de96b5aa5969","openai","AI, ML, Python","2026-03-20T22:09:48.4915202Z"
"Software Engineer, Full Stack (Cooperative AI)","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/7613aca3-9dd8-41cd-b114-06ef4de967a9","openai","AI, ML, Python","2026-03-20T22:09:48.4915202Z"
"Solutions Engineer, Retail","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/4167047e-33c2-4be4-b693-71c6c039bc56","openai","AI, ML, Python","2026-03-20T22:09:48.4915202Z"
"Value Engineer, AI Success - NYC","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/d134caf2-907c-4c85-be2d-fad477d2b425","openai","AI, ML, Python","2026-03-20T22:09:48.4915202Z"
"Value Engineer, AI Success - San Francisco","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/916fa6f6-f441-43c6-9769-27e4bf0b2cc9","openai","AI, ML, Python","2026-03-20T22:09:48.4925198Z"
"AI Emerging Risks Analyst","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/6d5d982f-d00b-49b8-b023-c596f0096d76","openai","AI, ML, Python","2026-03-20T22:09:48.4925198Z"
"Counsel, AI Product","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/da9700e0-060e-44a3-9a0a-57e723e877ce","openai","AI, ML, Python","2026-03-20T22:09:48.4925198Z"
"AI Adoption, Content & Community Manager, OpenAI for Government","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/92fae68d-e513-4c48-b8b3-67a9a824925d","openai","AI, ML, Python","2026-03-20T22:09:48.4925198Z"
"AI Deployment Engineer, Gov","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/be7b1bf5-37ab-40f7-9ec1-e9732244f12a","openai","AI, ML, Python","2026-03-20T22:09:48.4935193Z"
"AI Success Engineer, Government","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/dde7aafb-fa52-4b14-b94f-1aa331b32fa6","openai","AI, ML, Python","2026-03-20T22:09:48.4935193Z"
"Director, Partnerships - OpenAI for Government","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/3bff1081-2bc7-4ea0-b037-f0c2eb4af262","openai","AI, ML, Python","2026-03-20T22:09:48.4935193Z"
"Recruiter, AI/ML Research","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/ed871ac9-44ae-47fa-beaa-b9ab7ff31012","openai","AI, ML, Python","2026-03-20T22:09:48.4935193Z"
"Recruiting Manager, Applied AI Engineering","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/148f1bde-1146-45df-8cc3-613576a61b87","openai","AI, ML, Python","2026-03-20T22:09:48.4945193Z"
"Lead Product Designer, Health AI","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/327141d7-a2aa-405b-88c6-90c920594423","openai","AI, ML, Python","2026-03-20T22:09:48.4945193Z"
"Distributed Training Engineer, Sora","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/2f1c59a8-570b-4192-9b5b-422f1a632cb6","openai","AI, ML, Python","2026-03-20T22:09:48.4945193Z"
"Machine Learning Engineer, Distributed Data Systems","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/4a13c764-18c3-4076-ac87-29e05491be07","openai","AI, ML, Python","2026-03-20T22:09:48.4955179Z"
"Research Engineer / Research Scientist, Post-Training","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/1c516e9f-c97d-4a40-8529-9871dac615a5","openai","AI, ML, Python","2026-03-20T22:09:48.4955179Z"
"Research Engineer, AI for Science","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/d1425d2b-0c54-4fc9-8e21-fc8b9ae60238","openai","AI, ML, Python","2026-03-20T22:09:48.4955179Z"
"Researcher, Training","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/97d3670c-e75a-4bb2-a235-171765f5f10e","openai","AI, ML, Python","2026-03-20T22:09:48.4955179Z"
"Researcher, Health AI","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/bcbe08e3-9593-431d-bc99-37e35e035742","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
"Researcher, Pretraining Safety","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/d829b701-5ee2-414f-8596-ef94911a168a","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
"Researcher, Robustness & Safety Training","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/2560ed50-5535-42b8-b069-9ebc28ce7493","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
"Researcher, Trustworthy AI","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/71acba5c-dbae-406f-b983-f40943c43068","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
"Software Engineer, AI Safety","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/b9dee2a0-9bb3-447e-9bce-2b1bed784e5b","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
"Datacenter Hardware Operations Technician, AI Compute Infrastructure - Stargate","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/b9a4a809-a965-4dbe-aeef-6ce1593903dd","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
"Datacenter Networking Technician, AI Compute Deployment - Stargate","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/3ca637f8-c0d6-4253-8568-1f31b02adf76","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
"ML Research Engineer - Hardware Codesign","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/5931abef-191b-417e-89f1-1d06f00e908c","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
"Rack Product Engineer, AI Rack Infrastructure - Stargate","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/4042f9ab-2df3-4745-986a-cf2063bd840b","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
"Supply Chain Operations Program Manager, AI Infrastructure","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/063d1957-23f0-4976-b8bd-93a0d4a31cfb","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
"Training Performance Engineer","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/6eb386ac-9056-4795-aa79-a27e105faf5c","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
"Training, Process Management Engineer","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/0fc4742f-21f9-40a3-925e-adeb0a6920c1","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
"Training: ML Framework Engineer","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/d8794980-1d3f-4d82-8b48-811449b6c492","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
"Machine Learning Data Scientist, Forecasting","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/0b57e309-426d-4f5c-a28c-6dd941b84703","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
"Strategic Finance, COGS & Supply Chain Finance","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/aa5e89e9-90f7-49e8-b4ca-b4d030c68425","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
"Technical Program Manager, Trustworthy AI","OpenAI","Not specified","Engineering","Full-time","Job details available at URL","See job posting for details","","https://jobs.ashbyhq.com/openai/2ce31dca-6a6b-4bc3-abab-9b7ed5ba92d5","openai","AI, ML, Python","2026-03-20T22:09:48.4966694Z"
